wl_nm,intensity,n_BK7,n_SF2,n_SF5,n_BAF10,n_SF10,n_BAK4,n_SF57
560.8,0.2156770974,1.5179942882588864,1.6504896303988952,1.6757532625492766,1.6721218923124803,1.731990373369192,1.570332140912574,1.8518126399326666
561.0,0.2155580074,1.517984767993655,1.65046705866551,1.675727225848514,1.6721048983760924,1.731960535029616,1.5703201380057263,1.851770977027912
561.2,0.2177252471,1.5179752573838123,1.650444495198881,1.6757011891477518,1.6720879201591243,1.731930724580764,1.5703081234145626,1.8517293820007354
561.3,0.2190351039,1.5179705056996626,1.6504332165655995,1.6756881707973708,1.672079437339989,1.7319158299034028,1.5703021122951248,1.8517086094776052
561.5,0.2225360125,1.517961009572906,1.650410665499106,1.6756621340966082,1.6720624850695476,1.731886061818893,1.5702900835240623,1.8516671134849934
561.7,0.2284661233,1.517951523101539,1.6503881226993684,1.675636097395846,1.6720455516750543,1.7318563223294483,1.5702780475307845,1.8516256816608907
561.8,0.2253224552,1.5179467834866267,1.6503768543995334,1.67562462695263,1.672037092450856,1.731841463395919,1.570272027383578,1.8516049893483977
562.0,0.2268466651,1.5179373114983448,1.65035432399993,1.675601686066198,1.672020189737684,1.7318117673273303,1.5702599839035534,1.851563650995259
562.1,0.2207022011,1.5179325791249751,1.6503430619001624,1.6755902156229818,1.6720117465643638,1.7317969302627052,1.5702539610169457,1.8515430045837067
562.3,0.221392855,1.5179231216197782,1.650320543900694,1.67556727473655,1.6719948773733886,1.731767278248879,1.5702419140660635,1.8515017563633707
562.5,0.2262512743,1.5179136737699708,1.6502980341679816,1.675544333850118,1.6719780321088085,1.731737655957066,1.5702298670323285,1.8514605663770354
562.6,0.2233933806,1.5179089533822547,1.6502867866256326,1.6755328634069018,1.671969618843483,1.731722856044957,1.570223844042153,1.851439992757985
562.8,0.2252986431,1.5178995193468634,1.6502643230848422,1.67550992252047,1.6719528118358933,1.731693278864419,1.5702118002307115,1.8513988873408502
562.9,0.2288710028,1.5178948056991874,1.6502531070864006,1.6754984520772538,1.6719444184092822,1.731678501666425,1.570205779855656,1.8513783551718597
563.1,0.2284661233,1.517885385143877,1.6502307066334252,1.6754755111908215,1.6719276524995592,1.7316489702310705,1.5701937432823998,1.8513373309857653
563.3,0.2274420559,1.5178759735752865,1.6502083482389924,1.67545257030439,1.671910915566678,1.7316194696446758,1.5701817137656504,1.8512963590991627
563.4,0.2338961065,1.5178712711610114,1.6501971848137302,1.6754410998611735,1.6719025583611191,1.7316047310078813,1.5701757022112286,1.851275892304538
563.6,0.228227973,1.5178618730725018,1.6501748895071129,1.6754181589747417,1.6718858672608987,1.7315752772231836,1.5701636866258162,1.8512349960853745
563.7,0.2270610034,1.5178571773982674,1.6501637576257575,1.6754066885315255,1.6718775336818894,1.7315605621457135,1.570157683041035,1.8512145662899284
563.9,0.2269657403,1.5178477927898382,1.6501415254069545,1.6753837476450937,1.6718608912552044,1.7315311557966189,1.5701456854028488,1.8511737424000407
